name	name_ru	link	type	type_ru	subtype	subtype_ru	place	place_ru	lat	lon	lang	n_tokens	card_title	card_title_ru
Upper Pinega and Vyya Corpus	Корпус говора верхней Пинеги и Выи	http://lingconlab.ru/vaduga/	corpus	корпус	dialectal	диалектный	Tineva	Тинева	62.9422093908765	46.1321514915384	Russian	70&nbsp;803	Upper Pinega and Vyya river basins dialect	Говор верхней Пинеги и Выи
Upper Pinega and Vyya Corpus	Корпус говора верхней Пинеги и Выи	http://lingconlab.ru/vaduga/	corpus	корпус	dialectal	диалектный	Zaytsevo	Зайцево	62.9391563369877	46.4267476275263	Russian	70&nbsp;803	Upper Pinega and Vyya river basins dialect	Говор верхней Пинеги и Выи
Upper Pinega and Vyya Corpus	Корпус говора верхней Пинеги и Выи	http://lingconlab.ru/vaduga/	corpus	корпус	dialectal	диалектный	Podolskaya	Подольская	62.9445567428191	46.3750392790236	Russian	70&nbsp;803	Upper Pinega and Vyya river basins dialect	Говор верхней Пинеги и Выи
Ustja River Basin Corpus	Корпус устьянских говоров	http://www.parasolcorpus.org/Pushkino/login.php	corpus	корпус	dialectal	диалектный	Mikhalevskaya	Михалёвская	61.5011111551685	42.656956040085	Russian	959&nbsp;782	Ustja River Basin dialects	Устьянские говоры
Corpus of Russian spoken in Zvenigorod	Корпус говора города Звенигород	http://lingconlab.ru/zvenigorod/	corpus	корпус	dialectal	диалектный	Zvenigorod	Звенигород	55.7244642662795	36.8359550846001	Russian	68&nbsp;324	Zvenigorod dialect	Говор г. Звенигород
Dictionary of the Mehweb language	Словарь мегебского языка	http://lingconlab.ru/MehwebDict/	dictionary	словарь	dictionary	словарь	Megeb	Мегеб	42.2568	47.0512	Megeb	1&nbsp;132	Mehweb	Мегебский язык
Dictionary of the Rutul language	Словарь рутульского языка	https://linghub.ru/rutuldict/	dictionary	словарь	dictionary	словарь	Kina	Кина	41.6186	47.2667	Rutul	738	Rutul	Рутульский язык
Dictionary of the Tukita language	Словарь тукитинского языка	http://lingconlab.ru/TukitaDict/	dictionary	словарь	dictionary	словарь	Tukita	Тукита	42.57076	46.37298	Karata	1&nbsp;175	Tukita	Тукитинский язык
Spoken corpus of Abaza	Устный корпус абазинского языка	http://lingconlab.ru/spoken_abaza/	corpus	корпус	minority	малых языков	Inzhich-Chukun	Инжич-Чукун	44.0461459817847	41.7812629017135	Abaza	3&nbsp;636	Abaza	Абазинский язык
Spoken corpus of Adyghe	Устный корпус адыгейского языка	http://lingconlab.ru/spoken_adyghe/	corpus	корпус	minority	малых языков	Kabekhabl	Кабехабль	45.047325634291	40.1804089995317	Adyghe	9&nbsp;128	Adyghe	Адыгейский язык
Spoken corpus of Adyghe	Устный корпус адыгейского языка	http://lingconlab.ru/spoken_adyghe/	corpus	корпус	minority	малых языков	Pshicho	Пшичо	45.0640202992501	40.1760035538134	Adyghe	9&nbsp;128	Adyghe	Адыгейский язык
Spoken corpus of Adyghe	Устный корпус адыгейского языка	http://lingconlab.ru/spoken_adyghe/	corpus	корпус	minority	малых языков	Khatazhukay	Хатажукай	45.0768895052302	40.1862685927333	Adyghe	9&nbsp;128	Adyghe	Адыгейский язык
Spoken corpus of Bashkir	Устный корпус башкирского языка	http://lingconlab.ru/spoken_bashkir/	corpus	корпус	minority	малых языков	Baimovo	Баимово	53.7275816330036	58.8426018649561	Bashkir	~25&nbsp;000	Bashkir	Башкирский язык
Spoken corpus of Bashkir	Устный корпус башкирского языка	http://lingconlab.ru/spoken_bashkir/	corpus	корпус	minority	малых языков	Rakhmetovo	Рахметово	53.8246221431156	58.8864748097082	Bashkir	~25&nbsp;000	Bashkir	Башкирский язык
Spoken Corpus of the Besleney Dialect of East Circassian	Устный корпус бесленеевского диалекта кабардино-черкесского языка	http://lingconlab.ru/spoken_besleney/	corpus	корпус	minority	малых языков	Ulyap	Уляп	45.0536665194073	39.9459325397445	Kabardian	7&nbsp;955	Kabardian	Кабардино-черкесский язык
Spoken corpus of Khakas	Устный корпус диалектов хакасского языка	http://lingconlab.ru/spoken_khakas/	corpus	корпус	minority	малых языков	Butrachty	Бутрахты	52.8118438478156	89.9874281348034	Khakas	~58&nbsp;000	Khakas	Хакасский язык
Spoken corpus of Khakas	Устный корпус диалектов хакасского языка	http://lingconlab.ru/spoken_khakas/	corpus	корпус	minority	малых языков	Kazanovka	Казановка	53.2158857420998	90.0474287407635	Khakas	~58&nbsp;000	Khakas	Хакасский язык
Spoken corpus of Khakas	Устный корпус диалектов хакасского языка	http://lingconlab.ru/spoken_khakas/	corpus	корпус	minority	малых языков	Karagay	Карагай	52.8455082905714	90.1071715824232	Khakas	~58&nbsp;000	Khakas	Хакасский язык
Spoken corpus of Khakas	Устный корпус диалектов хакасского языка	http://lingconlab.ru/spoken_khakas/	corpus	корпус	minority	малых языков	Chylany	Чиланы	52.8139410490598	90.0421183092167	Khakas	~58&nbsp;000	Khakas	Хакасский язык
Spoken corpus of Meadow Mari 	Устный корпус лугового марийского языка 	http://lingconlab.ru/spoken_meadow_mari/	corpus	корпус	minority	малых языков	Staryj Torjal	Старый Торъял	56.9578188052796	48.7802817871615	Eastern Mari	11&nbsp;647	Meadow Mari	Луговой марийский язык
Spoken Corpus of Muira Dargwa	Устный корпус муиринского даргинского	http://lingconlab.ru/muira_dargwa/search	corpus	корпус	minority	малых языков	NA	NA	NA	NA	NA	7&nbsp;470	Muira Dargwa	Муиринский даргинский язык
Corpus of the Russian dialect spoken in Manturovo	Корпус говора Мантуровского района Костромской области	http://lingconlab.ru/manturovo/	corpus	корпус	dialectal	диалектный	Угоры	Ugory	58.1274151358754	44.3564280955333	Russian	113&nbsp;837	Manturovo dialect	Мантуровский говор
